B2,B3,B4,B5,B6,B7,B8,B8A,lat,lon,Chl_a,DO,NH3_N,Chl,NH3
9.29e-18,1.058e-17,1.01e-17,9.6e-18,1.1969999999999999e-17,1.295e-17,1.568e-17,1.254e-17,16.5,80.6,19.071886488270323,-6.064356716809577,5.780554539699095,76.51575144242544,5.22917321430908
1.3939999999999998e-17,1.334e-17,1.1559999999999999e-17,1.1439999999999999e-17,1.218e-17,1.296e-17,1.5559999999999997e-17,1.222e-17,16.5,80.6,19.55350935884837,-6.940197785865874,4.51568256059744,78.63631706426423,7.113565036441429
6.92e-18,8.539999999999998e-18,9.06e-18,1.053e-17,1.083e-17,1.0349999999999997e-17,1.432e-17,1.3020000000000005e-17,16.5,80.6,23.315110644596203,-10.01532150417413,6.231265128392986,94.68834226234074,5.480476649717542
1.29e-17,1.338e-17,1.2639999999999999e-17,1.2459999999999997e-17,1.548e-17,1.67e-17,1.9360000000000002e-17,1.5610000000000002e-17,16.5,80.6,20.32195448864357,-9.34878243002186,6.380461276180248,77.95331444374867,4.579378907563315
8.769999999999999e-18,1.168e-17,1.18e-17,1.1080000000000001e-17,1.153e-17,1.245e-17,1.8139999999999997e-17,1.489e-17,16.5,80.6,18.504772052134133,-6.358428069521485,4.953638527343766,68.41971687234782,5.374189697991929
2.8e-17,2.8840000000000004e-17,2.6399999999999998e-17,2.674e-17,2.937e-17,3.099e-17,3.420000000000001e-17,3.026e-17,16.5,80.6,20.06406359699711,-9.899166370490354,4.923933427852422,85.81719180041905,3.838500146288677
1.05e-17,1.1639999999999998e-17,1.2159999999999998e-17,1.2380000000000002e-17,1.316e-17,1.458e-17,1.862e-17,1.476e-17,16.5,80.6,20.985364972190887,-5.255179071337057,5.519498497794666,76.9460921227359,5.698030057291223
1.064e-17,1.44e-17,1.478e-17,1.6819999999999998e-17,1.947e-17,2.154e-17,2.4640000000000004e-17,2.173e-17,16.5,80.6,22.991244246296887,-10.120492479423392,6.943482245287628,97.68936563505476,4.248555488103246
1.01e-17,1.2140000000000002e-17,1.3199999999999999e-17,1.341e-17,1.466e-17,1.6180000000000002e-17,2.12e-17,1.575e-17,16.5,80.6,19.930676340867112,-8.367996175059037,6.011216173610822,83.49173822131841,5.113677708264859
1.004e-17,1.328e-17,1.344e-17,1.2829999999999999e-17,1.4450000000000006e-17,1.651e-17,2.152e-17,1.5990000000000002e-17,16.5,80.6,19.22253556093626,-6.857586333837559,5.112194927505436,82.69479615518419,5.99104595650135
1.202e-17,1.4539999999999998e-17,1.4640000000000002e-17,1.456e-17,1.6930000000000005e-17,1.8729999999999998e-17,2.388e-17,1.91e-17,16.5,80.6,19.52405777503204,-5.344414478243932,5.965949612051652,73.3155514966675,6.121371810736906
1.224e-17,1.714e-17,1.5959999999999998e-17,1.3799999999999999e-17,1.504e-17,1.7609999999999998e-17,2.474e-17,1.7539999999999998e-17,16.5,80.6,16.952689295070414,-7.639130845455814,4.228320138808675,78.04949899010631,3.877515298561783
1.224e-17,1.49e-17,1.5420000000000003e-17,1.3810000000000001e-17,1.6559999999999998e-17,1.893e-17,2.484000000000001e-17,1.928e-17,16.5,80.6,17.917372888360333,-2.587570637757996,5.89465955524351,62.85428724651301,3.368592871645502
